CaseID,horizon,other,casualties,Scenarios,Pol1,P1,Pol2,P2,Pol3,P3,Pol4,P4,Pol5,P5,Pol6,P6,Pol7,P7,P1_conf,P2_conf,P3_conf,P4_conf,P5_conf,P6_conf,P7_conf,t_screen,t_select,Pol_select,P1_support,P2_support,P3_support,P4_support,P5_support,P6_support,P7_support,choice_factor,FactSuccess_rate,FactCas_rate,FactOther_rate,SetA_2,SetA_3,SetB_2,SetB_3,Important,Costs,TimeFrames,TF_MC,FMC1,FMC2,reward,reward_b,T1,T10,Sex,Gender,Age,ethnic,race,party,Know,FP_Know,educ,Edu_cat,inc,Income,Scenarios_DO
129,1,0,0,t_AllSet|S2,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,6,6,7,6,6,5,6,270.152,48.909,1,6,,,,,,,,,,,1,1,0,2,6,5,In the long run (next year),1,An American military base,Afghanistan,A reward of $3400 this month,0,5000,50000,Male,0,32,Black/African American,1,5,Somewhat Informed,2,Bachelor's degree,4,"$50,001 - $75,000",3,t_AllSet|S2
130,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,7,7,5,5,5,2,2,94.846,15.973,1,7,6,4,4,,,,,,,,1,1,0,2,4,4,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,250,100000,Female,1,31,Black/African American,1,3,Somewhat Informed,2,Bachelor's degree,4,"$75,001 - $100,000",4,t_AllSet|S2
131,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,7,6,5,4,5,6,7,60.233,13.928,1,7,6,5,,,,,,,,,1,1,0,2,7,6,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,1000,100000,Female,1,43,White/Caucasian,4,5,Somewhat Informed,2,Masters degree or higher,5,"$75,001 - $100,000",4,t_AllSet|S2
132,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,6,6,6,6,6,6,6,33.768,34.378,1,7,6,6,6,5,,,,,,,0,1,0,2,3,7,In the long run (next year),1,An American military base,Iran,A reward of $3800 next month,1,150,5000,Female,1,23,White/Caucasian,4,1,Not Well Informed,1,Some college,3,"Less than $25,000",1,t_AllSet|S2
133,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,6,6,5,4,4,6,6,374.655,14.194,1,6,5,3,,,,,,,,,1,0,0,2,7,5,In the long run (next year),1,An American embassy building,Iran,A reward of $3800 next month,1,500,500,Female,1,28,White/Caucasian,4,4,Somewhat Informed,2,Some college,3,"Less than $25,000",1,t_AllSet|S2
134,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,6,5,5,4,4,3,7,125.425,34.374,1,7,7,6,5,4,3,,,,,,1,0,0,2,5,6,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,200,1000,Male,0,26,White/Caucasian,4,6,Well Informed,3,Bachelor's degree,4,"More than $100,000",5,t_AllSet|S2
135,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,7,7,6,6,5,4,4,64.001,19.988,1,7,6,5,4,3,2,,,,,,1,0,0,2,6,4,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,300,10000,Male,0,24,White/Caucasian,4,2,Well Informed,3,Bachelor's degree,4,"$50,001 - $75,000",3,t_AllSet|S2
136,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,7,7,7,6,6,7,7,49.441,13.424,1,7,6,5,4,,,,,,,,0,0,0,2,7,5,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,150,1000,Male,0,30,White/Caucasian,4,2,Very Informed,4,Masters degree or higher,5,"$50,001 - $75,000",3,t_AllSet|S2
137,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,6,6,4,4,5,5,6,95.268,27.968,1,7,6,5,3,,,,,,,,0,0,0,2,5,6,In the long run (next year),1,An American military base,Afghanistan,A reward of $3400 this month,0,200,1000,Male,0,62,White/Caucasian,4,6,Somewhat Informed,2,High school,2,"$25,000 - $50,000",2,t_AllSet|S2
138,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,7,6,5,4,5,6,7,85.697,22.155,1,7,6,5,4,,,,,,,,0,0,0,2,4,6,In the long run (next year),1,An American military base,Iran,A reward of $3800 next month,1,200,1000,Female,1,29,Other,5,4,Not Well Informed,1,Bachelor's degree,4,"$50,001 - $75,000",3,t_AllSet|S2
139,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,7,6,5,4,3,2,1,84.48,15.591,1,7,5,3,1,,,,,,,,0,0,0,2,6,3,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,200,1000,Male,0,35,White/Caucasian,4,1,Well Informed,3,Masters degree or higher,5,"More than $100,000",5,t_AllSet|S2
140,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,7,6,5,4,3,2,1,69.772,20.457,1,7,7,6,5,4,3,2,,,,,0,0,0,2,5,4,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,300,1000,Male,0,38,White/Caucasian,4,1,Somewhat Informed,2,Some college,3,"$25,000 - $50,000",2,t_AllSet|S2
141,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,7,6,5,4,2,2,2,55.126,19.827,1,7,6,5,4,,,,,,,,0,0,0,2,5,6,In the long run (next year),1,An American military base,Afghanistan,A reward of $3400 this month,0,250,2000,Female,1,39,White/Caucasian,4,5,Well Informed,3,Bachelor's degree,4,"$75,001 - $100,000",4,t_AllSet|S2
142,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,7,7,6,6,5,4,5,104.997,32.106,1,7,7,6,5,5,4,,,,,,0,0,0,2,5,6,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,400,2000,Male,0,26,White/Caucasian,4,4,Somewhat Informed,2,Some college,3,"$50,001 - $75,000",3,t_AllSet|S2
143,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,6,5,3,2,2,2,1,112.904,17.943,1,6,6,,,,,,,,,,0,0,0,2,7,6,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,400,2500,Female,1,51,White/Caucasian,4,7,Well Informed,3,Some college,3,"$50,001 - $75,000",3,t_AllSet|S2
144,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,7,7,7,5,1,1,2,117.714,27.813,1,7,7,7,5,,,,,,,,0,0,0,2,6,6,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,500,3000,Female,1,39,White/Caucasian,4,2,Somewhat Informed,2,Masters degree or higher,5,"More than $100,000",5,t_AllSet|S2
145,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,7,5,3,1,2,4,7,80.395,18.366,1,7,5,3,1,,,,,,,,0,0,0,2,7,5,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,200,5000,Male,0,35,White/Caucasian,4,3,Somewhat Informed,2,Masters degree or higher,5,"$50,001 - $75,000",3,t_AllSet|S2
146,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,7,6,5,4,5,6,7,109.25,19.097,1,7,6,5,,,,,,,,,0,0,0,2,7,3,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,1000,10000,Male,0,38,White/Caucasian,4,1,Somewhat Informed,2,Some college,3,"$25,000 - $50,000",2,t_AllSet|S2
147,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,7,6,5,4,5,6,7,71.67,14.2,1,7,5,2,,,,,,,,,0,0,0,2,7,5,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,1000,10000,Male,0,34,White/Caucasian,4,5,Somewhat Informed,2,Bachelor's degree,4,"$50,001 - $75,000",3,t_AllSet|S2
148,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,6,6,5,5,5,4,4,33.102,11.116,1,5,6,6,,,,,,,,,0,0,0,2,7,5,In the long run (next year),1,An American military base,Afghanistan,A reward of $3400 this month,0,1000,10000,Male,0,26,White/Caucasian,4,7,Very Informed,4,Masters degree or higher,5,"$75,001 - $100,000",4,t_AllSet|S2
149,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,6,5,5,5,4,2,2,116.964,23.876,1,7,6,6,6,,,,,,,,0,0,0,2,6,5,In the long run (next year),1,An American military base,Afghanistan,A reward of $3400 this month,0,1000,10000,Male,0,35,White/Caucasian,4,1,Somewhat Informed,2,High school,2,"Less than $25,000",1,t_AllSet|S2
150,1,0,0,t_AllSet|S2,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,7,6,5,2,1,1,1,253.346,21.521,1,7,6,5,,,,,,,,,0,0,0,2,7,7,In the long run (next year),1,An American embassy building,Afghanistan,A reward of $3400 this month,0,1200,10000,Male,0,36,Black/African American,1,3,Well Informed,3,Some college,3,"$25,000 - $50,000",2,t_AllSet|S2
