CaseID,Duration,horizon,other,casualties,Scenarios,Pol1,P1,Pol2,P2,Pol3,P3,Pol4,P4,Pol5,P5,Pol6,P6,Pol7,P7,P1_conf,P2_conf,P3_conf,P4_conf,P5_conf,P6_conf,P7_conf,t_screen,t_select,Pol_select,P1_support,P2_support,P3_support,P4_support,P5_support,P6_support,P7_support,choice_factor,FactSuccess_rate,FactCas_rate,FactOther_rate,SetA_2,SetA_3,SetB_2,SetB_3,Important,Costs,TimeFrames,TF_MC,FMC1,FMC2,reward,reward_b,T1,T10,Sex,Gender,Age,ethnic,race,party,Know,FP_Know,educ,Edu_cat,inc,Income,Scenarios_DO
311,286,0,1,2,t_AllSet|S3,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,7,4,3,7,7,7,7,91.039,30.528,1,7,5,3,,,,,1,7,6,5,0,0,0,2,6,6,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,160,1000,Male,0,49,White/Caucasian,4,4,Well Informed,3,Some college,3,"$25,000 - $50,000",2,t_AllSet|S3
312,270,0,1,2,t_AllSet|S3,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,7,6,5,1,1,1,1,90.851,35.548,1,6,4,3,,,,,1,7,7,4,0,0,0,2,7,7,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,200,1000,Male,0,31,White/Caucasian,4,7,Somewhat Informed,2,Bachelor's degree,4,"$25,000 - $50,000",2,t_AllSet|S3
313,1018,0,1,2,t_AllSet|S3,Accept,1,Accept,1,Reject,0,Accept,1,Reject,0,Reject,0,Reject,0,5,2,2,4,4,4,5,141.228,27.763,1,7,3,,5,,,,1,6,4,5,0,0,0,2,5,4,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,300,1000,Female,1,28,White/Caucasian,4,1,Somewhat Informed,2,Bachelor's degree,4,"$75,001 - $100,000",4,t_AllSet|S3
314,350,0,1,2,t_AllSet|S3,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,7,2,1,4,7,7,7,106.581,40.017,1,7,4,2,6,,,,2,4,6,7,0,0,0,2,6,7,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,800,3500,Female,1,31,White/Caucasian,4,6,Somewhat Informed,2,Bachelor's degree,4,"$25,000 - $50,000",2,t_AllSet|S3
315,462,0,1,2,t_AllSet|S3,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,7,5,4,4,7,7,7,237.056,39.401,1,7,6,5,4,,,,1,7,6,4,0,0,0,2,7,5,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,500,5000,Male,0,29,White/Caucasian,4,1,Very Informed,4,High school,2,"$25,000 - $50,000",2,t_AllSet|S3
316,641,0,1,2,t_AllSet|S3,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,7,7,7,5,7,6,7,205.757,49.903,1,7,,,,,,,3,7,7,7,0,0,0,2,7,6,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,200,10000,Female,1,48,Hispanic/Latino,2,5,Somewhat Informed,2,Bachelor's degree,4,"$50,001 - $75,000",3,t_AllSet|S3
317,395,0,1,2,t_AllSet|S3,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,6,4,4,5,3,3,5,86.576,45.551,1,7,4,4,4,,,,1,6,6,4,0,0,0,2,4,6,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,1200,10000,Male,0,18,White/Caucasian,4,1,Somewhat Informed,2,High school,2,"$75,001 - $100,000",4,t_AllSet|S3
318,410,0,1,2,t_AllSet|S3,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,1,1,2,2,2,1,1,103.548,69.084,1,1,4,4,3,,,,1,7,5,5,0,0,0,2,7,6,In the short term (this month),0,An American military base,Afghanistan,A reward of $3400 this month,0,1000,15000,Male,0,71,White/Caucasian,4,5,Well Informed,3,Masters degree or higher,5,"$50,001 - $75,000",3,t_AllSet|S3
319,492,0,1,2,t_AllSet|S3,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,7,6,7,7,7,7,7,167.637,71.34,1,7,1,,,,,,3,7,7,7,0,0,0,2,7,7,In the short term (this month),0,An American military base,Afghanistan,A reward of $3400 this month,0,500,25000,Female,1,38,White/Caucasian,4,1,Somewhat Informed,2,High school,2,"$25,000 - $50,000",2,t_AllSet|S3
320,353,0,1,2,t_AllSet|S3,Accept,1,Reject,0,Reject,0,Accept,1,Reject,0,Reject,0,Reject,0,7,4,6,4,7,4,7,126.871,46.048,1,7,,,5,,,,1,7,1,7,1,1,0,2,6,6,In the long run (next year),1,An American military base,Afghanistan,A reward of $3800 next month,1,105,150,Male,0,67,White/Caucasian,4,3,Well Informed,3,Masters degree or higher,5,"$75,001 - $100,000",4,t_AllSet|S3
